,Time,Dead_time
0,10.0,10.020855057351412
1,31.57894736842105,13.0458811261731
2,53.1578947368421,15.070907194994788
3,74.73684210526315,17.094890510948915
4,96.3157894736842,20.12095933263818
5,117.89473684210526,21.14389989572473
6,139.4736842105263,23.168925964546418
7,161.05263157894737,25.193952033368106
8,182.6315789473684,28.218978102189794
9,204.21052631578945,31.245046923879073
10,225.78947368421052,34.27007299270076
11,247.36842105263156,38.2971845672576
12,268.9473684210526,42.32325338894685
13,290.52631578947364,48.35245046923882
14,312.10526315789474,54.38164754953078
15,333.6842105263158,61.41084462982275
16,355.2631578947368,70.44316996871748
17,376.84210526315786,82.47758081334729
18,398.4210526315789,97.5161626694474
19,420.0,118.56100104275288
